slow,fast,med_sharpe,nb_min_sharpe,share_pos,med_rt_yr
6,4,-0.19675997848312654,-0.27760257193133236,0.18292682926829268,15.756353634525997
8,4,-0.15681240440608943,-0.27760257193133236,0.2682926829268293,13.77358459751261
10,6,-0.13882061132300538,-0.27760257193133236,0.3048780487804878,10.062155782848153
12,8,-0.0855223045207997,-0.19675997848312654,0.3780487804878049,8.047895450394329
14,8,-0.01583392732632896,-0.19675997848312654,0.5,7.57837473277003
16,10,0.027488559042407865,-0.13882061132300538,0.5365853658536586,6.309936908517351
18,12,0.028280106088159562,-0.0855223045207997,0.524390243902439,5.419889502762431
20,12,0.02271587202091516,-0.0855223045207997,0.5121951219512195,5.072574438277238
22,14,0.031216399377804877,0.001225445576379588,0.5365853658536586,4.501481086396047
24,14,0.04617484933531631,0.001225445576379588,0.5487804878048781,4.261471518987342
26,12,0.0574362707523105,-0.0855223045207997,0.573170731707317,4.444969358450103
28,16,0.04901395419308287,0.003985279878345993,0.5853658536585366,3.834817506303507
30,16,0.04652962406874775,0.003985279878345993,0.5853658536585366,3.605942908910847
32,10,0.05329139381658268,-0.04973024464304634,0.5487804878048781,4.443487394957984
34,20,0.058162153680269446,0.015437083260769896,0.5975609756097561,3.0524225575853854
36,20,0.056573347857579614,0.015437083260769896,0.6097560975609756,3.010594918302829
38,18,0.0443747071456511,0.007299235457209343,0.6097560975609756,3.066772011795611
40,26,0.05909536622326657,0.019457866558338217,0.573170731707317,2.459774797030808
42,26,0.05431527362904846,0.019457866558338217,0.5853658536585366,2.4597609561752987
44,26,0.07342319735445918,0.019457866558338217,0.573170731707317,2.3612440191387556
46,24,0.07769330088401483,0.015437083260769896,0.5853658536585366,2.4056830480576865
48,32,0.09492373876145199,0.05284959966093827,0.6951219512195121,1.9624600638977636
50,28,0.097930796923909,0.027293007333132845,0.6097560975609756,2.115107913669065
52,34,0.12966723989079793,0.0719053595216777,0.6951219512195121,1.8264738606301605
54,34,0.1423017911440561,0.0719053595216777,0.6463414634146342,1.8158526821457168
56,32,0.15195983284023762,0.05284959966093827,0.6341463414634146,1.8677884615384617
58,30,0.15298111552184734,0.05284959966093827,0.6707317073170732,1.857520502035073
60,38,0.1410719283174393,0.12966723989079793,0.7439024390243902,1.6179775280898876
62,36,0.14901333755351615,0.09492373876145199,0.7439024390243902,1.6192771084337352
64,34,0.16744285200178805,0.09059249513718019,0.7317073170731707,1.6354710099276948
66,42,0.15703938158137482,0.13922748630354148,0.7439024390243902,1.4698310539018504
68,40,0.16837961503684218,0.13219382754479006,0.7317073170731707,1.4951143277770471
70,38,0.1614113869868262,0.13219382754479006,0.7195121951219512,1.5466798334578842
72,48,0.1956929434516731,0.13929140238265433,0.7926829268292683,1.2752490298128643
74,48,0.19268415541372633,0.13929140238265433,0.7926829268292683,1.2631558627080035
76,48,0.19822468547908595,0.13929140238265433,0.8170731707317073,1.2274407605273718
78,52,0.2030347698395716,0.1785051350839959,0.8292682926829268,1.1378243855313728
80,52,0.2165524153631812,0.1785051350839959,0.8292682926829268,1.1147576258348826
82,50,0.22006714570301944,0.15843881653920416,0.8170731707317073,1.1103760274812906
84,50,0.22099599226993583,0.15843881653920416,0.8292682926829268,1.0864967149129106
86,48,0.2192058060670304,0.1516124735933956,0.8170731707317073,1.0886969644898357
88,42,0.22010248694543633,0.14494494140487812,0.7926829268292683,1.1761363636363638
90,46,0.2271264586779621,0.16165935361049677,0.8170731707317073,1.1153460240709987
92,40,0.22623531898848762,0.14706024186340738,0.8048780487804879,1.1853167781806686
94,44,0.2262014523993171,0.1745070848251795,0.8414634146341463,1.127746135069162
96,52,0.23615154029619362,0.19198502550809232,0.8170731707317073,1.0260586319218243
98,50,0.23943146644406987,0.19224222099675412,0.8292682926829268,1.0268948655256724
100,50,0.2407621002055933,0.19224222099675412,0.8170731707317073,1.0277324632952691
102,68,0.24016346586694548,0.18997085957832327,0.8292682926829268,0.822857142857143
104,66,0.23406812556866022,0.1959367513356613,0.8170731707317073,0.823529411764706
106,66,0.23916566958016106,0.1959367513356613,0.8414634146341463,0.8270293664337052
108,66,0.23493624902692362,0.1959367513356613,0.8414634146341463,0.7989048596314674
110,44,0.2332301501142009,0.20117013525881966,0.8292682926829268,1.0241066925027447
112,40,0.2496767197695423,0.19927347763225034,0.8292682926829268,1.050884124193567
114,40,0.2524742158382679,0.19927347763225034,0.8170731707317073,1.03363412633306
116,38,0.24413982959901032,0.19927347763225034,0.8292682926829268,1.0344827586206897
118,38,0.2527890076230468,0.19927347763225034,0.8536585365853658,1.0374475375502492
120,38,0.2545806734757473,0.2013535910316159,0.8292682926829268,1.036184210526316
122,38,0.2518635385870981,0.19851229357094136,0.8048780487804879,1.0370370370370372
124,36,0.25209996736369433,0.19851229357094136,0.8414634146341463,1.0398333627264162
126,36,0.2517830883020296,0.19851229357094136,0.8414634146341463,1.0387469084913439
128,34,0.24896339541646417,0.20402942810565236,0.8414634146341463,1.0998046394470156
130,34,0.25494058018235566,0.19752680382275878,0.8292682926829268,1.0429058082495328
132,78,0.24704867395471763,0.19118189068088598,0.8170731707317073,0.6768595041322315
134,76,0.24008423389234873,0.19118189068088598,0.8048780487804879,0.6830488245107956
136,50,0.23951358537545098,0.19953414089254687,0.8292682926829268,0.827708210611497
138,28,0.23638792465430128,0.18869181312745983,0.8048780487804879,1.1483015741507872
140,72,0.23446425510045174,0.19118189068088598,0.8048780487804879,0.6840998026110746
142,74,0.23897857206367373,0.19118189068088598,0.8048780487804879,0.6796680497925311
144,70,0.23767609409672746,0.2007687925128528,0.8170731707317073,0.6802325581395349
146,50,0.23913758144686967,0.19953414089254687,0.8170731707317073,0.7528846171292731
148,70,0.2385198126556172,0.2007687925128528,0.8292682926829268,0.6782159497147718
150,64,0.24870200732692427,0.19300157862939663,0.8170731707317073,0.7210863815301864
152,64,0.24317626570905385,0.19300157862939663,0.8170731707317073,0.7133776624094912
154,68,0.2524922080870981,0.19755850004314052,0.8170731707317073,0.6419414848126616
156,66,0.25066389256313476,0.19300157862939663,0.7926829268292683,0.6649907197215565
158,62,0.2548241405726762,0.19300157862939663,0.8170731707317073,0.6822787929747244
160,62,0.25233963400607073,0.1991532529643447,0.8170731707317073,0.6787149078723635
162,60,0.2511619281817155,0.201871584837453,0.8048780487804879,0.6789614821962199
164,60,0.2501926219906822,0.201871584837453,0.8048780487804879,0.6674780677044511
166,58,0.2511795213252457,0.1970893261479874,0.8170731707317073,0.6821587669296987
168,100,0.251048200037596,0.19150924950646242,0.8170731707317073,0.523354918857823
170,56,0.2558394384068244,0.197317362002506,0.8048780487804879,0.6410801733097555
172,56,0.24547415565370406,0.197317362002506,0.8170731707317073,0.6519996256096917
174,54,0.24030638839329332,0.19991105919540136,0.8048780487804879,0.6654489281212241
176,54,0.24313776904319523,0.1970360946500361,0.8170731707317073,0.6564508923010488
178,52,0.23533830081206025,0.1970360946500361,0.7926829268292683,0.6737115999904171
180,52,0.23662316248974444,0.1970360946500361,0.8048780487804879,0.6569611058291054
182,52,0.23869770263454182,0.19071986071303432,0.8170731707317073,0.6572165453025031
184,118,0.2341734804598374,0.19641773235601956,0.8292682926829268,0.43191029822792515
186,44,0.22924017493270615,0.18874657426908836,0.7926829268292683,0.7336071151453943
188,98,0.22948384696140323,0.18350730253764158,0.8170731707317073,0.4796954314720813
190,86,0.23379853613285848,0.17407695011929525,0.8170731707317073,0.5206335037025998
192,38,0.22154168695143073,0.18874657426908836,0.8170731707317073,0.8008474576271188
194,84,0.22604595096761873,0.17407695011929525,0.8170731707317073,0.48943656480752284
196,114,0.21888821719962082,0.1944485429801624,0.8292682926829268,0.42435961196572397
198,24,0.22332738704606558,0.18193451934656496,0.8292682926829268,0.9634664401019543
200,36,0.21700896154478888,0.19142541703015525,0.8048780487804879,0.7997863232373027
202,88,0.2212584841653394,0.17937814770273988,0.8048780487804879,0.46984628977090714
204,36,0.22436725985513173,0.19142541703015525,0.8170731707317073,0.7894318976510757
206,118,0.230703715285924,0.18319687856039407,0.8048780487804879,0.42028235828465454
208,34,0.24256227719773568,0.19142541703015525,0.8048780487804879,0.7800634525849267
210,34,0.2365635742974066,0.19142541703015525,0.8048780487804879,0.7705215209915564
212,32,0.23766069796624478,0.1909956442048723,0.7926829268292683,0.8025518941895016
214,36,0.23398638070696604,0.19193031798448693,0.8048780487804879,0.754491017964072
216,32,0.23264924401365383,0.19292968576861264,0.8170731707317073,0.7713188220230474
218,34,0.2285448050968097,0.1958114614552227,0.8292682926829268,0.7898521333673991
220,28,0.2301057453616689,0.1910911584726111,0.8292682926829268,0.8521977872149881
222,28,0.23025549560455677,0.19706353256931436,0.8170731707317073,0.8603981706168591
224,102,0.22947623614739177,0.19257286615667968,0.8414634146341463,0.41886844253082045
226,30,0.23281250879883408,0.19748277027927905,0.8048780487804879,0.8100549103050472
228,30,0.23241868978449198,0.19748277027927905,0.8048780487804879,0.8021669233330558
230,102,0.22570416053630105,0.19257286615667968,0.8414634146341463,0.40888760058842677
232,28,0.22788200672780967,0.1967709533481418,0.8048780487804879,0.8474123223545429
234,100,0.23119307427806823,0.18729650020203623,0.8292682926829268,0.4039303600354605
236,100,0.23529389729695044,0.18729650020203623,0.8292682926829268,0.3950968074225645
238,28,0.22842478895510726,0.19327626541946558,0.8048780487804879,0.8167675021607608
240,78,0.22557048890550285,0.16490558514713666,0.7926829268292683,0.46840614985426177
242,26,0.23519389696824972,0.18909718724798752,0.7926829268292683,0.8172516585978126
244,26,0.23846834312986298,0.18670732705662635,0.8170731707317073,0.7976169107062567
246,74,0.23047315764575815,0.1761514316075829,0.8170731707317073,0.47571609629528167
248,26,0.22916136320905292,0.18605746129371153,0.8048780487804879,0.7912091926191869
250,28,0.23123426805251612,0.18605746129371153,0.7926829268292683,0.767226378269899
252,114,0.22587960153063355,0.1838096575957085,0.7560975609756098,0.3877724965391164
254,26,0.22799611686024834,0.18605746129371153,0.8048780487804879,0.8193826418518755
256,118,0.2218621583360016,0.1953214954633982,0.7804878048780488,0.38414634146341464
258,120,0.22182746139362436,0.202188669609297,0.7439024390243902,0.37887429109083537
260,26,0.22232279488364726,0.18605746129371153,0.7926829268292683,0.7978021155817573
262,120,0.22630143845711673,0.202188669609297,0.7439024390243902,0.37129627034999224
264,120,0.23266056754279318,0.202188669609297,0.7560975609756098,0.3716002626437348
266,114,0.23320258326782803,0.19241608862911236,0.7682926829268293,0.38732134229139914
268,120,0.2377382942107721,0.202188669609297,0.7926829268292683,0.35171876006150377
270,118,0.23971237873473347,0.19869719650007406,0.7926829268292683,0.3519504839203663
272,118,0.24276520240238825,0.19869719650007406,0.8048780487804879,0.35218253968253965
274,82,0.24450506592307664,0.19155515687853136,0.8170731707317073,0.418274437831494
276,116,0.256844199114055,0.20445669297896418,0.7926829268292683,0.35675335653277135
278,114,0.24393840766848968,0.21555576803175436,0.7804878048780488,0.3517695616481722
280,114,0.2520317015394555,0.2110490945204837,0.7804878048780488,0.3571371642848987
282,112,0.24121225951615527,0.21716629903557078,0.7682926829268293,0.3573294851983867
284,78,0.24195163131294786,0.19592494041438807,0.8170731707317073,0.4143331800447392
286,110,0.23926337593120195,0.2145762467880482,0.7682926829268293,0.3522498149132005
288,50,0.23909505467589204,0.19419497822048482,0.8048780487804879,0.506938638323627
290,76,0.23903725182852398,0.18457217568816303,0.8048780487804879,0.424891060680296
292,50,0.24085604769412602,0.2026546635958033,0.8048780487804879,0.5424506369145257
294,48,0.23920841158978107,0.20134456606584797,0.8170731707317073,0.5580159433126661
296,52,0.23910396111338256,0.20132001814153538,0.8048780487804879,0.5330020502983861
298,60,0.23936226595804402,0.20126093878757387,0.7926829268292683,0.46504130420939693
300,60,0.23532919909546324,0.20132001814153538,0.7926829268292683,0.45615906916170135
302,60,0.23404229150843947,0.20132001814153538,0.8048780487804879,0.4656583726351168
304,108,0.23001185076527123,0.1920608419324554,0.7682926829268293,0.34185336784903886
306,104,0.23686373046636433,0.20068930749680144,0.7804878048780488,0.3516132836467879
308,106,0.2435950062711989,0.1920608419324554,0.7804878048780488,0.3425252557077756
310,104,0.24176906138085477,0.19989546952072865,0.7926829268292683,0.35369948848767413
312,56,0.2398273044445477,0.2026546635958033,0.7926829268292683,0.4955066225101805
314,56,0.2447228799727401,0.2026546635958033,0.8170731707317073,0.4870586532314163
316,56,0.23924224868771019,0.2026546635958033,0.8048780487804879,0.48740186062411783
318,54,0.23596926018735007,0.2026546635958033,0.8048780487804879,0.4851333395456068
320,54,0.24218858349718636,0.2026546635958033,0.7926829268292683,0.469684491244583
322,54,0.2436310294421808,0.2026546635958033,0.7804878048780488,0.4698667139956798
324,54,0.23937991597650005,0.2026546635958033,0.8048780487804879,0.47004908423744696
326,52,0.23652282709339245,0.20425749292970458,0.7804878048780488,0.47023160215577764
328,88,0.23642432859091822,0.19678012314476634,0.7682926829268293,0.3737563722693561
330,112,0.23215820376644347,0.1920608419324554,0.7804878048780488,0.3402340234023402
332,114,0.24361444927411008,0.1920608419324554,0.7926829268292683,0.34054054054054056
334,112,0.23448485809061226,0.19989546952072865,0.7926829268292683,0.34084761045987383
336,112,0.2509429244165897,0.19989546952072865,0.7926829268292683,0.3409676444823091
338,110,0.24052121351757344,0.19989546952072865,0.7682926829268293,0.34146341463414637
340,110,0.24502732741152922,0.19989546952072865,0.7804878048780488,0.34136026710767775
342,110,0.23710230425543588,0.19989546952072865,0.7804878048780488,0.34155702832972656
344,120,0.24684321124355285,0.21832682852154756,0.7804878048780488,0.3344752289246492
346,120,0.24989916682671887,0.21832682852154756,0.7804878048780488,0.32961955239945284
348,120,0.26205470580263357,0.21832682852154756,0.7682926829268293,0.3243208171583501
350,120,0.26254401463232846,0.21832682852154756,0.7804878048780488,0.3266626508857802
352,118,0.2534817226469264,0.21283020727794777,0.7804878048780488,0.3244469527672421
354,114,0.25228860326658226,0.21283020727794777,0.7926829268292683,0.33025613430908307
356,114,0.2474527909512098,0.21283020727794777,0.7682926829268293,0.33041569446150065
358,116,0.27128071339210763,0.21283020727794777,0.7682926829268293,0.3195357421375825
360,116,0.274974219862663,0.21283020727794777,0.7439024390243902,0.31960456966308787
362,114,0.261730953427565,0.21891859251012616,0.7439024390243902,0.3196734297106916
364,110,0.2700382028241195,0.21891859251012616,0.7560975609756098,0.3310556020564196
366,118,0.26330513596652605,0.23492201381843486,0.7439024390243902,0.29352499062169046
368,106,0.27367528293931653,0.2201445943372792,0.7439024390243902,0.33137655993613335
370,118,0.2627736782733744,0.23492201381843486,0.7317073170731707,0.2937607187640455
372,106,0.2732754441317655,0.2206454711610349,0.7439024390243902,0.3279446151224326
374,104,0.27782332373541435,0.21951801012150662,0.7439024390243902,0.33185925814843553
376,120,0.27647737476519896,0.24942834443990233,0.7560975609756098,0.28952205882352944
378,116,0.28110074070835717,0.2459542702219406,0.7195121951219512,0.28978840846366144
380,106,0.2761179739102801,0.22442855701407424,0.7560975609756098,0.32029463772556266
382,110,0.2743810298817859,0.24552771436340554,0.7439024390243902,0.31073101493353744
384,112,0.27408484202528405,0.23757205540515514,0.7560975609756098,0.294589340950937
386,98,0.26814642916785547,0.2201791250629176,0.7317073170731707,0.3348430552034567
388,108,0.2744788508722158,0.23757205540515514,0.7439024390243902,0.3019678404382661
390,102,0.2716592937549253,0.22765556027010694,0.7439024390243902,0.314836959914344
392,96,0.2695312519138131,0.21769336166947445,0.7195121951219512,0.32843280791772345
394,100,0.27199649732000203,0.2321846468779666,0.7439024390243902,0.31965561814787036
396,100,0.2699518867056324,0.24379683001367308,0.7439024390243902,0.31984559069955065
398,120,0.2688245170984547,0.2517741084021333,0.7317073170731707,0.2918512564452083
400,96,0.2701955733111271,0.21769336166947445,0.7073170731707317,0.330150507412528
