asset,asset_class,fast,slow,mode,is_start,split,oos_end,is_bars,oos_bars,is_sharpe,oos_sharpe,is_calmar,oos_calmar,is_max_dd,oos_max_dd,is_cagr,oos_cagr,oos_vol,bh_is_sharpe,bh_oos_sharpe,oos_beats_bh
crypto/BTC_14_19,crypto,5,20,long,2014-12-21,2017-09-02,2019-07-04,986,658,2.091522467891969,1.5006446687403066,4.438518688245507,1.6289748237302706,-0.328819494768961,-0.6758588918195159,1.4594714725914792,1.100957119168232,0.6193034307762573,1.5488609144655583,1.0301863297499696,True
crypto/BTC_14_19,crypto,5,35,long,2015-01-05,2017-09-08,2019-07-04,977,652,1.9081668305208097,1.5890290897246697,4.108302353980134,2.0356768600729707,-0.3195569327947107,-0.6228113564992352,1.3128364992311814,1.2678426666161506,0.6427561069165618,1.526176451202713,1.0779363662211865,True
crypto/BTC_14_19,crypto,8,21,long,2014-12-22,2017-09-02,2019-07-04,985,658,2.070478523276732,1.3890618408146165,4.57952568376191,1.3448782347951564,-0.3183573506657647,-0.7353870088191032,1.457925663988266,0.9890059823119257,0.63788289655415,1.5496513155969651,1.0301863297499696,True
crypto/BTC_14_19,crypto,9,21,long,2014-12-22,2017-09-02,2019-07-04,985,658,1.9866472301855413,1.2866882631552818,4.309100202643592,1.13577058406853,-0.3183573506657647,-0.7638081799381421,1.3718337242669236,0.8675108626446644,0.6416223241268507,1.5496513155969651,1.0301863297499696,True
crypto/BTC_14_19,crypto,10,20,long,2014-12-21,2017-09-02,2019-07-04,986,658,1.991872174635943,1.312515521672249,4.326681344378626,1.1873917436181318,-0.3183573506657647,-0.7566967083773508,1.3774308099713684,0.8984954239502836,0.6415020949070955,1.5488609144655583,1.0301863297499696,True
crypto/BTC_14_19,crypto,10,30,long,2014-12-31,2017-09-06,2019-07-04,980,654,1.9538859830422968,1.6196565889193846,4.3842264317019,2.3227746034177175,-0.3078689412310778,-0.5671558153542564,1.34976714964537,1.3173751240855351,0.6446500434290282,1.5500052559226014,1.0381570674618616,True
crypto/BTC_14_19,crypto,10,100,long,2015-03-11,2017-10-04,2019-07-04,938,626,1.8338507226556366,1.5170789775706095,4.33165790045618,1.6523784820917333,-0.3628300288764849,-0.6790300878166975,1.5716555611055696,1.122014705801171,0.6201918204187282,1.9293588042303491,1.128740096601528,True
crypto/BTC_14_19,crypto,12,26,long,2014-12-27,2017-09-04,2019-07-04,982,656,1.9026350029397363,1.6138751201832873,4.169967843051546,2.253604199184243,-0.3078689412310778,-0.5827833098460938,1.2838035848079206,1.313362914283649,0.6466866277420029,1.537581012855393,1.0529295881450909,True
crypto/BTC_14_19,crypto,13,48,long,2015-01-18,2017-09-13,2019-07-04,969,647,1.6452166882298906,1.5208730930222492,2.8445283233872725,1.6921526518123367,-0.37982285165246277,-0.7116384530712622,1.0804168593951526,1.2042008954961654,0.6599946078524614,2.0920032797733445,1.1602623505426826,True
crypto/BTC_14_19,crypto,20,50,long,2015-01-20,2017-09-14,2019-07-04,968,646,1.5369790554435045,1.891906039511829,2.8386892488445,2.6089821002383093,-0.3628300288764849,-0.6847482275102358,1.0299617021296172,1.7864958687441146,0.6512190633785107,1.9421812905096176,1.274005923851348,True
crypto/BTC_14_19,crypto,20,60,long,2015-01-30,2017-09-18,2019-07-04,962,642,1.7817686377348403,1.8566092148677356,4.001077542044065,2.6003836374500424,-0.3628300288764849,-0.6369758574602619,1.4517110801169033,1.6563815971903755,0.6310166530711654,2.0160430855552196,1.130372313591886,True
crypto/BTC_14_19,crypto,20,100,long,2015-03-11,2017-10-04,2019-07-04,938,626,1.9244366692431565,1.5827238106324766,4.734701010390723,1.8259110630956077,-0.36283002887648463,-0.6579424533581812,1.717891704321587,1.201344404466969,0.6162693000102989,1.9293588042303491,1.128740096601528,True
crypto/BTC_14_19,crypto,21,55,long,2015-01-25,2017-09-16,2019-07-04,965,644,1.7030420898074792,1.8489604331890612,3.656710512666765,2.5098988362245023,-0.3628300288764849,-0.666212553526254,1.3267643809038283,1.6721261127736988,0.6398779642433313,1.9000946899536635,1.1901694401660783,True
crypto/BTC_14_19,crypto,30,90,long,2015-03-01,2017-09-30,2019-07-04,944,630,1.9220225111568279,1.540375381812807,4.700553048093363,1.779263776248724,-0.36283002887648436,-0.6548349319733383,1.7055017981751617,1.1651240738824582,0.6276820004979058,2.018724024485073,1.1055008569592102,True
crypto/BTC_14_19,crypto,30,200,long,2015-06-19,2017-11-13,2019-07-04,878,586,2.1750682667558796,1.083714693406265,6.5538650053360055,0.985481528365023,-0.36283002887648463,-0.6748591564244583,2.377939029138645,0.6650612329043053,0.681572147740306,2.3675878430063086,0.86062457303028,True
crypto/BTC_14_19,crypto,40,100,long,2015-03-11,2017-10-04,2019-07-04,938,626,1.883475861371649,1.659835699965516,4.558193508261152,2.1031465023894484,-0.3628300288764845,-0.6485908396946566,1.6538494822269982,1.3640815559856525,0.6401532667938729,1.9293588042303491,1.128740096601528,True
crypto/BTC_14_19,crypto,50,150,long,2015-04-30,2017-10-24,2019-07-04,908,606,1.9960150991404568,1.4243175032751427,5.255554094254503,1.7046579918306335,-0.3628300288764849,-0.6485908396946565,1.9068728437802898,1.1056255583136374,0.685666561033972,2.275040797265232,0.9629932990037269,True
crypto/BTC_14_19,crypto,50,200,long,2015-06-19,2017-11-13,2019-07-04,878,586,2.1223411890657253,0.9907125288414622,6.217266126802381,0.8260531024258831,-0.3628300288764849,-0.6847903233638154,2.2558108483204995,0.5656731711259034,0.6884469363241864,2.3675878430063086,0.86062457303028,True
crypto/BTC_14_19,crypto,60,120,long,2015-03-31,2017-10-12,2019-07-04,926,618,2.0048573702932253,1.4419198175330354,5.203706480429461,1.7344813339615126,-0.3628300288764849,-0.6485908396946565,1.888060972558973,1.1249687048288053,0.6819673395495841,2.215556131774882,0.9638818826928053,True
crypto/BTC_14_19,crypto,60,132,long,2015-04-12,2017-10-17,2019-07-04,919,613,2.0250044791521105,1.4018984379973836,5.3415112881519144,1.653617775992889,-0.3628300288764849,-0.6485908396946565,1.9380606949242292,1.0725213418652382,0.6850571214350869,2.2605419566312075,0.9487472157908781,True
crypto/BTC_14_19,crypto,60,180,long,2015-05-30,2017-11-05,2019-07-04,890,594,2.2059760083307243,0.9221558979527635,6.504001953293566,0.7574703487240817,-0.3628300288764849,-0.6550586951653945,2.3598472165262185,0.4961875382616733,0.6957825202501841,2.483791234358736,0.7681691338897815,True
crypto/BTC_14_19,crypto,60,400,long,2016-01-05,2018-02-01,2019-07-04,758,506,2.2500407156659143,0.12068388104702772,6.121844861949977,-0.16531836720273588,-0.5414447837150129,-0.5838301378335783,3.314640967215368,-0.09651784511039539,0.5866453285733679,2.2500407156659143,0.6465916955612043,False
crypto/BTC_14_19,crypto,62,758,long,2016-12-28,2018-06-24,2019-07-04,543,363,1.7642192979794147,0.32379655422032627,3.5170360730631485,0.04594645427540564,-0.6916122137404584,-0.5558486420085209,2.432425104296253,0.025539274214090826,0.5527034818770729,1.7642192979794147,1.2821574612987339,False
crypto/BTC_14_19,crypto,74,758,long,2016-12-28,2018-06-24,2019-07-04,543,363,1.7642192979794147,0.28789194073480084,3.5170360730631485,0.007822094801695895,-0.6916122137404584,-0.5558486420085209,2.432425104296253,0.0043479007731845746,0.5564066310170634,1.7642192979794147,1.2821574612987339,False
