fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,0.168,0.251,0.298,0.328,0.365,0.343,0.355,0.354,0.407
5-9,0.251,0.289,0.305,0.36,0.382,0.367,0.365,0.38,0.414
10-19,0.327,0.315,0.353,0.372,0.389,0.37,0.382,0.397,0.404
20-39,,0.365,0.372,0.391,0.397,0.382,0.376,0.398,0.413
40-69,,,0.395,0.402,0.415,0.382,0.385,0.399,0.419
70-120,,,,0.422,0.408,0.383,0.385,0.4,0.418
