fast,slow,med_sharpe,nb_min_sharpe,share_pos,med_rt_yr
2,396,0.20834194131348688,0.18040934553047772,0.7926829268292683,2.223830637623741
4,396,0.22004756674486517,0.18040934553047772,0.7804878048780488,1.529249331249853
6,354,0.23758437035443458,0.160842354108119,0.8170731707317073,1.3757961783439492
8,400,0.23596722194962755,0.19545373041664693,0.7926829268292683,1.1165088243383143
10,378,0.24190520093144163,0.20121087926406517,0.8048780487804879,1.0161664603374714
12,396,0.23810893815373158,0.2146956079069727,0.8048780487804879,0.8996992091465629
14,400,0.24665263382525202,0.2146956079069727,0.7804878048780488,0.8197026022304834
16,396,0.2560435670601735,0.2146956079069727,0.7804878048780488,0.7891847799585354
18,396,0.26729136286687166,0.2146956079069727,0.7804878048780488,0.7012987012987013
20,394,0.25550460552637183,0.217665127145228,0.7804878048780488,0.70064874884152
22,376,0.23677993209307757,0.21117579592279728,0.7682926829268293,0.6948529411764708
24,400,0.25523417299865647,0.2172331626873798,0.7804878048780488,0.6235892437117247
26,126,0.24331622731729324,0.1399854080312096,0.8048780487804879,1.2335908544525693
28,130,0.24440167948038344,0.1884166329396314,0.8292682926829268,1.1846812945227385
30,400,0.2511450177143943,0.2172331626873798,0.8048780487804879,0.5845467663919448
32,390,0.25661931303890034,0.2172331626873798,0.7682926829268293,0.5827937095282146
34,130,0.25494058018235566,0.19752680382275878,0.8292682926829268,1.0429058082495328
36,124,0.25209996736369433,0.19851229357094136,0.8414634146341463,1.0398333627264162
38,120,0.2545806734757473,0.2013535910316159,0.8292682926829268,1.036184210526316
40,390,0.2551870728369882,0.2108405992990063,0.7804878048780488,0.519551109145052
42,398,0.2546842464153644,0.2108405992990063,0.7682926829268293,0.5123512341921863
44,394,0.25463633595527113,0.2280072613012546,0.7804878048780488,0.511883929771016
46,390,0.25191104582978063,0.22092243217723304,0.7682926829268293,0.48868030118030115
48,390,0.24917575290876384,0.22503614123502297,0.7804878048780488,0.4684347621058445
50,396,0.25779868794513583,0.22902401577405518,0.7804878048780488,0.4675324675324676
52,388,0.2602362526107908,0.2263898877923436,0.7560975609756098,0.4560356381942047
54,382,0.2557161333371333,0.21447450623775144,0.7560975609756098,0.4453819016131406
56,394,0.2595875211770545,0.23037964702198047,0.7926829268292683,0.43395866593290433
58,392,0.2513492993287282,0.22789156804061467,0.7804878048780488,0.43698152158769965
60,394,0.2549312600132342,0.22789156804061467,0.7926829268292683,0.4179780885508858
62,158,0.2548241405726762,0.19300157862939663,0.8170731707317073,0.6822787929747244
64,396,0.2579200945303497,0.22789156804061467,0.8170731707317073,0.38509302767425313
66,400,0.2551006124334557,0.22789156804061467,0.7926829268292683,0.3658517561062578
68,400,0.26201193789053256,0.2325571042975587,0.7682926829268293,0.36042970214238346
70,396,0.26853653242959663,0.23046252205050263,0.7804878048780488,0.3533802608136978
72,390,0.27066851371786976,0.2255523293555815,0.7926829268292683,0.3530100300967288
74,390,0.2624752048379531,0.2255523293555815,0.7804878048780488,0.3496762257169288
76,384,0.26531646837908973,0.22034388180573614,0.7804878048780488,0.3596948090685791
78,384,0.2614131525245367,0.22034388180573614,0.7804878048780488,0.3490206791688434
80,380,0.26685201082585985,0.22339710846634098,0.8048780487804879,0.34857860371672533
82,378,0.2713277412370448,0.22660321479805323,0.8048780487804879,0.3477460901563938
84,378,0.2456070859531968,0.22277584443871373,0.8170731707317073,0.3477460901563938
86,366,0.24435747791468476,0.20974779506653274,0.8048780487804879,0.3470419100995563
88,386,0.2571373894576944,0.21769336166947445,0.7560975609756098,0.3490304709141274
90,378,0.2558995599612992,0.21769336166947445,0.7682926829268293,0.3451509607109512
92,392,0.25565952340658876,0.21769336166947445,0.7560975609756098,0.3422467052197319
94,396,0.2635922216457951,0.21769336166947445,0.7317073170731707,0.3298681288937335
96,400,0.2701955733111271,0.21769336166947445,0.7073170731707317,0.330150507412528
98,388,0.27319863342992845,0.22765556027010694,0.7317073170731707,0.3349265390730965
100,380,0.27505150435887427,0.21962076867258887,0.7317073170731707,0.33668265626287663
102,378,0.2750308764729137,0.21951801012150662,0.7317073170731707,0.3321819011674446
104,374,0.27782332373541435,0.21951801012150662,0.7439024390243902,0.33185925814843553
106,378,0.27948723524083896,0.22442855701407424,0.7439024390243902,0.32022548386227784
108,380,0.27463537094903634,0.22442855701407424,0.7317073170731707,0.3096589381878331
110,382,0.2743810298817859,0.24552771436340554,0.7439024390243902,0.31073101493353744
112,378,0.275314717134733,0.2397638560165543,0.7317073170731707,0.3095736232829196
114,378,0.2735550757183469,0.2459542702219406,0.7560975609756098,0.2942335342776564
116,378,0.28110074070835717,0.2459542702219406,0.7195121951219512,0.28978840846366144
118,378,0.2760194978453002,0.2459542702219406,0.7560975609756098,0.29052987785611917
120,376,0.27647737476519896,0.24942834443990233,0.7560975609756098,0.28952205882352944
