fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,-0.771,-0.685,-0.619,-0.579,-0.554,-0.524,-0.504,-0.498,-0.441
5-9,-0.69,-0.609,-0.606,-0.557,-0.536,-0.511,-0.501,-0.481,-0.439
10-19,-0.605,-0.583,-0.58,-0.554,-0.536,-0.502,-0.487,-0.478,-0.454
20-39,,-0.582,-0.56,-0.543,-0.507,-0.486,-0.48,-0.462,-0.426
40-69,,,-0.546,-0.519,-0.498,-0.484,-0.481,-0.457,-0.41
70-120,,,,-0.512,-0.502,-0.499,-0.481,-0.453,-0.411
