pair,mode,asset_class,markets,med_sharpe,share_pos,med_cagr,med_dd,med_calmar,med_bh_sharpe,beat_bh
32/384,ls,crypto,3,0.538,0.667,0.155,-0.716,0.217,0.559,0.333
32/384,ls,etf,4,0.671,1.0,0.049,-0.266,0.397,0.886,0.25
32/384,ls,fut_commodity,10,0.198,0.8,0.014,-0.806,0.023,0.228,0.4
32/384,ls,fut_equity,10,-0.004,0.5,-0.048,-0.724,-0.064,0.408,0.0
32/384,ls,fut_rates,7,0.269,1.0,0.026,-0.173,0.065,0.469,0.429
32/384,ls,fx_futures,16,0.081,0.625,0.003,-0.394,0.012,0.018,0.562
32/384,ls,index,4,0.298,1.0,0.036,-0.33,0.111,0.81,0.0
32/384,ls,index_pkg,2,0.229,1.0,0.027,-0.515,0.058,0.25,0.5
32/384,ls,stock,26,0.409,0.885,0.061,-0.403,0.152,0.744,0.115
50/200,long,crypto,3,1.128,0.667,0.536,-0.617,0.869,0.559,0.667
50/200,long,etf,4,0.745,1.0,0.057,-0.195,0.55,0.886,0.5
50/200,long,fut_commodity,10,0.193,0.9,0.008,-0.675,0.012,0.228,0.6
50/200,long,fut_equity,10,0.259,0.9,0.03,-0.533,0.045,0.408,0.2
50/200,long,fut_rates,7,0.549,1.0,0.043,-0.133,0.252,0.469,0.429
50/200,long,fx_futures,16,0.098,0.75,0.003,-0.295,0.009,0.018,0.625
50/200,long,index,4,0.538,1.0,0.064,-0.232,0.292,0.81,0.0
50/200,long,index_pkg,2,0.512,1.0,0.063,-0.298,0.225,0.25,1.0
50/200,long,stock,26,0.568,1.0,0.08,-0.302,0.302,0.744,0.154
50/200,ls,crypto,3,0.983,0.667,0.497,-0.759,0.661,0.559,0.333
50/200,ls,etf,4,0.46,1.0,0.032,-0.287,0.228,0.886,0.25
50/200,ls,fut_commodity,10,0.182,0.9,0.011,-0.776,0.014,0.228,0.5
50/200,ls,fut_equity,10,0.045,0.7,-0.034,-0.77,-0.041,0.408,0.0
50/200,ls,fut_rates,7,0.438,0.857,0.02,-0.23,0.165,0.469,0.286
50/200,ls,fx_futures,16,0.142,0.75,0.009,-0.41,0.025,0.018,0.625
50/200,ls,index,4,0.17,1.0,0.014,-0.359,0.041,0.81,0.0
50/200,ls,index_pkg,2,0.35,1.0,0.053,-0.441,0.12,0.25,1.0
50/200,ls,stock,26,0.268,0.846,0.032,-0.477,0.071,0.744,0.115
58/134,long,crypto,3,1.029,0.667,0.449,-0.604,0.744,0.559,0.667
58/134,long,etf,4,0.745,1.0,0.073,-0.224,0.498,0.886,0.25
58/134,long,fut_commodity,10,0.176,0.9,0.008,-0.696,0.012,0.228,0.5
58/134,long,fut_equity,10,0.342,0.9,0.039,-0.482,0.067,0.408,0.1
58/134,long,fut_rates,7,0.549,1.0,0.039,-0.12,0.238,0.469,0.429
58/134,long,fx_futures,16,0.112,0.875,0.003,-0.284,0.011,0.018,0.75
58/134,long,index,4,0.633,1.0,0.073,-0.234,0.367,0.81,0.0
58/134,long,index_pkg,2,0.456,1.0,0.055,-0.312,0.187,0.25,1.0
58/134,long,stock,26,0.545,1.0,0.089,-0.312,0.3,0.744,0.269
58/134,ls,crypto,3,0.8,0.667,0.345,-0.768,0.449,0.559,0.333
58/134,ls,etf,4,0.391,1.0,0.049,-0.306,0.171,0.886,0.25
58/134,ls,fut_commodity,10,0.215,0.9,0.01,-0.825,0.014,0.228,0.4
58/134,ls,fut_equity,10,0.15,0.7,-0.018,-0.704,-0.025,0.408,0.0
58/134,ls,fut_rates,7,0.394,0.857,0.025,-0.22,0.128,0.469,0.286
58/134,ls,fx_futures,16,0.184,0.875,0.012,-0.32,0.037,0.018,0.688
58/134,ls,index,4,0.206,0.75,0.019,-0.388,0.055,0.81,0.0
58/134,ls,index_pkg,2,0.293,1.0,0.041,-0.491,0.084,0.25,1.0
58/134,ls,stock,26,0.225,0.808,0.023,-0.523,0.052,0.744,0.038
60/130,long,crypto,3,1.055,0.667,0.467,-0.594,0.787,0.559,0.667
60/130,long,etf,4,0.772,1.0,0.079,-0.221,0.53,0.886,0.25
60/130,long,fut_commodity,10,0.18,0.9,0.008,-0.698,0.012,0.228,0.6
60/130,long,fut_equity,10,0.33,0.9,0.036,-0.467,0.063,0.408,0.1
60/130,long,fut_rates,7,0.583,1.0,0.039,-0.122,0.226,0.469,0.429
60/130,long,fx_futures,16,0.109,0.875,0.004,-0.297,0.014,0.018,0.75
60/130,long,index,4,0.678,1.0,0.079,-0.227,0.405,0.81,0.0
60/130,long,index_pkg,2,0.467,1.0,0.057,-0.312,0.192,0.25,1.0
60/130,long,stock,26,0.58,1.0,0.096,-0.31,0.325,0.744,0.308
60/130,ls,crypto,3,0.812,0.667,0.354,-0.768,0.461,0.559,0.333
60/130,ls,etf,4,0.432,1.0,0.057,-0.292,0.191,0.886,0.25
60/130,ls,fut_commodity,10,0.224,0.9,0.013,-0.828,0.015,0.228,0.5
60/130,ls,fut_equity,10,0.149,0.7,-0.023,-0.689,-0.027,0.408,0.0
60/130,ls,fut_rates,7,0.397,0.857,0.028,-0.22,0.125,0.469,0.286
60/130,ls,fx_futures,16,0.178,0.875,0.011,-0.317,0.036,0.018,0.688
60/130,ls,index,4,0.249,1.0,0.026,-0.373,0.074,0.81,0.0
60/130,ls,index_pkg,2,0.303,1.0,0.044,-0.489,0.089,0.25,1.0
60/130,ls,stock,26,0.213,0.769,0.021,-0.494,0.048,0.744,0.038
60/132,long,crypto,3,1.111,0.667,0.509,-0.558,0.913,0.559,0.667
60/132,long,etf,4,0.761,1.0,0.077,-0.224,0.513,0.886,0.25
60/132,long,fut_commodity,10,0.176,0.9,0.007,-0.708,0.011,0.228,0.5
60/132,long,fut_equity,10,0.353,0.9,0.037,-0.475,0.073,0.408,0.1
60/132,long,fut_rates,7,0.583,1.0,0.04,-0.122,0.235,0.469,0.429
60/132,long,fx_futures,16,0.11,0.875,0.004,-0.289,0.011,0.018,0.75
60/132,long,index,4,0.658,1.0,0.076,-0.231,0.382,0.81,0.0
60/132,long,index_pkg,2,0.458,1.0,0.055,-0.314,0.185,0.25,1.0
60/132,long,stock,26,0.576,1.0,0.096,-0.307,0.322,0.744,0.269
60/132,ls,crypto,3,0.916,0.667,0.438,-0.707,0.62,0.559,0.333
60/132,ls,etf,4,0.424,1.0,0.054,-0.305,0.185,0.886,0.25
60/132,ls,fut_commodity,10,0.223,0.9,0.007,-0.835,0.011,0.228,0.3
60/132,ls,fut_equity,10,0.121,0.7,-0.028,-0.694,-0.038,0.408,0.0
60/132,ls,fut_rates,7,0.413,0.857,0.023,-0.213,0.13,0.469,0.286
60/132,ls,fx_futures,16,0.184,0.812,0.011,-0.329,0.035,0.018,0.688
60/132,ls,index,4,0.226,1.0,0.022,-0.373,0.064,0.81,0.0
60/132,ls,index_pkg,2,0.292,1.0,0.041,-0.488,0.084,0.25,1.0
60/132,ls,stock,26,0.234,0.808,0.027,-0.529,0.053,0.744,0.038
62/128,long,crypto,3,1.057,0.667,0.472,-0.561,0.84,0.559,0.667
62/128,long,etf,4,0.773,1.0,0.079,-0.22,0.516,0.886,0.25
62/128,long,fut_commodity,10,0.178,0.9,0.008,-0.71,0.012,0.228,0.6
62/128,long,fut_equity,10,0.339,0.9,0.037,-0.471,0.068,0.408,0.1
62/128,long,fut_rates,7,0.593,1.0,0.041,-0.124,0.243,0.469,0.429
62/128,long,fx_futures,16,0.087,0.875,0.002,-0.298,0.007,0.018,0.75
62/128,long,index,4,0.675,1.0,0.078,-0.23,0.396,0.81,0.0
62/128,long,index_pkg,2,0.461,1.0,0.056,-0.316,0.185,0.25,1.0
62/128,long,stock,26,0.587,1.0,0.095,-0.295,0.334,0.744,0.269
62/128,ls,crypto,3,0.861,0.667,0.394,-0.712,0.553,0.559,0.333
62/128,ls,etf,4,0.435,1.0,0.057,-0.296,0.182,0.886,0.25
62/128,ls,fut_commodity,10,0.223,0.9,0.013,-0.813,0.016,0.228,0.5
62/128,ls,fut_equity,10,0.149,0.6,-0.029,-0.693,-0.033,0.408,0.0
62/128,ls,fut_rates,7,0.394,0.857,0.022,-0.213,0.174,0.469,0.286
62/128,ls,fx_futures,16,0.175,0.812,0.011,-0.348,0.028,0.018,0.688
62/128,ls,index,4,0.242,1.0,0.025,-0.371,0.071,0.81,0.0
62/128,ls,index_pkg,2,0.294,1.0,0.041,-0.489,0.084,0.25,1.0
62/128,ls,stock,26,0.235,0.808,0.027,-0.523,0.06,0.744,0.038
62/130,long,crypto,3,1.11,0.667,0.508,-0.558,0.911,0.559,0.667
62/130,long,etf,4,0.774,1.0,0.077,-0.222,0.532,0.886,0.25
62/130,long,fut_commodity,10,0.183,0.9,0.007,-0.708,0.011,0.228,0.6
62/130,long,fut_equity,10,0.33,0.9,0.034,-0.475,0.067,0.408,0.1
62/130,long,fut_rates,7,0.6,1.0,0.039,-0.124,0.243,0.469,0.429
62/130,long,fx_futures,16,0.1,0.875,0.004,-0.285,0.012,0.018,0.75
62/130,long,index,4,0.686,1.0,0.08,-0.221,0.433,0.81,0.0
62/130,long,index_pkg,2,0.472,1.0,0.058,-0.284,0.216,0.25,1.0
62/130,long,stock,26,0.591,1.0,0.097,-0.305,0.337,0.744,0.308
62/130,ls,crypto,3,0.912,0.667,0.435,-0.707,0.615,0.559,0.333
62/130,ls,etf,4,0.412,1.0,0.053,-0.321,0.178,0.886,0.25
62/130,ls,fut_commodity,10,0.226,0.9,0.006,-0.822,0.011,0.228,0.4
62/130,ls,fut_equity,10,0.095,0.7,-0.026,-0.693,-0.035,0.408,0.0
62/130,ls,fut_rates,7,0.389,0.857,0.023,-0.215,0.145,0.469,0.286
62/130,ls,fx_futures,16,0.173,0.812,0.012,-0.347,0.034,0.018,0.688
62/130,ls,index,4,0.265,1.0,0.028,-0.374,0.08,0.81,0.0
62/130,ls,index_pkg,2,0.31,1.0,0.045,-0.462,0.098,0.25,1.0
62/130,ls,stock,26,0.249,0.808,0.029,-0.521,0.06,0.744,0.038
78/118,long,crypto,3,0.998,0.667,0.435,-0.544,0.799,0.559,0.667
78/118,long,etf,4,0.762,1.0,0.076,-0.223,0.519,0.886,0.25
78/118,long,fut_commodity,10,0.203,1.0,0.009,-0.665,0.014,0.228,0.6
78/118,long,fut_equity,10,0.301,0.9,0.031,-0.455,0.073,0.408,0.2
78/118,long,fut_rates,7,0.57,1.0,0.042,-0.134,0.219,0.469,0.429
78/118,long,fx_futures,16,0.09,0.688,0.003,-0.293,0.007,0.018,0.688
78/118,long,index,4,0.704,1.0,0.086,-0.207,0.479,0.81,0.0
78/118,long,index_pkg,2,0.513,1.0,0.064,-0.277,0.245,0.25,1.0
78/118,long,stock,26,0.633,1.0,0.097,-0.313,0.352,0.744,0.308
78/118,ls,crypto,3,0.71,0.667,0.277,-0.699,0.4,0.559,0.333
78/118,ls,etf,4,0.405,1.0,0.052,-0.292,0.178,0.886,0.25
78/118,ls,fut_commodity,10,0.248,0.9,0.017,-0.765,0.02,0.228,0.6
78/118,ls,fut_equity,10,0.057,0.7,-0.035,-0.717,-0.046,0.408,0.0
78/118,ls,fut_rates,7,0.346,0.857,0.021,-0.245,0.122,0.469,0.286
78/118,ls,fx_futures,16,0.169,0.688,0.01,-0.425,0.029,0.018,0.625
78/118,ls,index,4,0.32,1.0,0.037,-0.339,0.115,0.81,0.0
78/118,ls,index_pkg,2,0.356,1.0,0.056,-0.439,0.128,0.25,1.0
78/118,ls,stock,26,0.259,0.808,0.029,-0.526,0.073,0.744,0.038
80/144,long,crypto,3,1.08,0.667,0.499,-0.624,0.8,0.559,0.667
80/144,long,etf,4,0.748,1.0,0.067,-0.192,0.52,0.886,0.25
80/144,long,fut_commodity,10,0.203,1.0,0.011,-0.648,0.018,0.228,0.6
80/144,long,fut_equity,10,0.295,0.9,0.034,-0.523,0.062,0.408,0.2
80/144,long,fut_rates,7,0.544,1.0,0.041,-0.151,0.249,0.469,0.429
80/144,long,fx_futures,16,0.13,0.625,0.005,-0.278,0.014,0.018,0.688
80/144,long,index,4,0.609,1.0,0.077,-0.225,0.346,0.81,0.0
80/144,long,index_pkg,2,0.491,1.0,0.061,-0.278,0.24,0.25,1.0
80/144,long,stock,26,0.631,1.0,0.085,-0.302,0.34,0.744,0.115
80/144,ls,crypto,3,0.909,0.667,0.432,-0.775,0.554,0.559,0.333
80/144,ls,etf,4,0.446,1.0,0.04,-0.296,0.196,0.886,0.25
80/144,ls,fut_commodity,10,0.223,0.9,0.01,-0.748,0.011,0.228,0.5
80/144,ls,fut_equity,10,0.097,0.7,-0.035,-0.702,-0.048,0.408,0.0
80/144,ls,fut_rates,7,0.402,0.857,0.019,-0.194,0.156,0.469,0.429
80/144,ls,fx_futures,16,0.171,0.75,0.012,-0.385,0.03,0.018,0.625
80/144,ls,index,4,0.236,1.0,0.026,-0.361,0.076,0.81,0.0
80/144,ls,index_pkg,2,0.336,1.0,0.049,-0.493,0.1,0.25,1.0
80/144,ls,stock,26,0.278,0.885,0.034,-0.485,0.099,0.744,0.077
100/300,long,crypto,3,1.011,0.667,0.464,-0.59,0.87,0.559,0.333
100/300,long,etf,4,0.844,1.0,0.071,-0.211,0.601,0.886,0.5
100/300,long,fut_commodity,10,0.151,0.8,-0.004,-0.683,-0.005,0.228,0.5
100/300,long,fut_equity,10,0.24,0.9,0.022,-0.468,0.031,0.408,0.0
100/300,long,fut_rates,7,0.394,1.0,0.038,-0.129,0.122,0.469,0.429
100/300,long,fx_futures,16,0.059,0.688,0.0,-0.329,0.002,0.018,0.562
100/300,long,index,4,0.616,1.0,0.081,-0.242,0.36,0.81,0.0
100/300,long,index_pkg,2,0.346,1.0,0.039,-0.372,0.121,0.25,1.0
100/300,long,stock,26,0.601,1.0,0.095,-0.286,0.399,0.744,0.154
100/300,ls,crypto,3,0.931,0.667,0.455,-0.824,0.733,0.559,0.333
100/300,ls,etf,4,0.749,1.0,0.063,-0.221,0.419,0.886,0.25
