fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,-0.105,-0.069,-0.052,-0.024,-0.007,0.005,0.023,0.033,0.063
5-9,-0.077,-0.05,-0.036,-0.017,0.001,0.011,0.031,0.04,0.056
10-19,-0.057,-0.03,-0.019,-0.008,0.02,0.027,0.042,0.045,0.047
20-39,,-0.014,-0.01,0.018,0.036,0.037,0.042,0.042,0.054
40-69,,,0.011,0.035,0.039,0.035,0.044,0.049,0.061
70-120,,,,0.039,0.037,0.037,0.042,0.057,0.057
