history,asset,bars,disagree_bars,scored_bars,disagree_pct,max_ema_gap_bp,sharpe_study,sharpe_mt4,sharpe_gap,flips_study,flips_mt4,cagr_study,cagr_mt4
3x slow (396 bars),index/^GSPC,396,0,132,0.0,4.9649,-1.1076,-1.1076,0.0,2,2,-0.1268,-0.1268
3x slow (396 bars),index/^IXIC,396,1,132,0.7576,5.4555,-1.1797,-0.9495,0.2302,2,2,-0.1737,-0.1461
3x slow (396 bars),index/^RUT,396,0,132,0.0,12.2601,-2.2849,-2.2849,0.0,2,2,-0.2255,-0.2255
3x slow (396 bars),index_pkg/NDX,396,0,132,0.0,1.808,-0.7921,-0.7921,0.0,2,2,-0.1365,-0.1365
3x slow (396 bars),index_pkg/SPX,396,0,132,0.0,0.129,-0.5506,-0.5506,0.0,2,2,-0.0741,-0.0741
3x slow (396 bars),stock/AAPL,396,0,132,0.0,5.4992,-1.4577,-1.4577,0.0,2,2,-0.342,-0.342
3x slow (396 bars),stock/AXP,396,2,132,1.5152,6.4539,-0.2501,-0.158,0.0921,3,3,-0.0774,-0.0583
3x slow (396 bars),stock/BA,396,2,132,1.5152,8.5555,0.9364,0.8251,-0.1113,3,3,0.2493,0.2124
3x slow (396 bars),stock/CAT,396,4,132,3.0303,13.5913,-3.0241,-3.5595,-0.5353,2,2,-0.3797,-0.4663
3x slow (396 bars),stock/CSCO,396,0,132,0.0,6.4849,1.1432,1.1432,0.0,1,1,0.3179,0.3179
3x slow (396 bars),stock/CVX,396,1,132,0.7576,8.3573,-1.3966,-1.201,0.1956,2,2,-0.1732,-0.1533
3x slow (396 bars),stock/DIS,396,0,132,0.0,0.1856,0.3684,0.3684,0.0,1,1,0.0567,0.0567
3x slow (396 bars),stock/GE,396,0,132,0.0,7.1166,,,,0,0,0.0,0.0
3x slow (396 bars),stock/GS,396,0,132,0.0,8.9153,,,,0,0,0.0,0.0
3x slow (396 bars),stock/HD,396,3,132,2.2727,6.935,-0.2883,-0.7891,-0.5008,2,2,-0.052,-0.1265
3x slow (396 bars),stock/IBM,396,5,132,3.7879,7.767,-1.7712,-1.8953,-0.1241,2,2,-0.2281,-0.2434
3x slow (396 bars),stock/INTC,396,2,132,1.5152,8.9063,-0.3675,-0.2864,0.0812,3,3,-0.0396,-0.032
3x slow (396 bars),stock/JNJ,396,2,132,1.5152,2.4273,-0.3423,-0.1788,0.1635,2,2,-0.0915,-0.0598
3x slow (396 bars),stock/JPM,396,3,132,2.2727,6.6084,-1.1029,-1.0934,0.0095,4,2,-0.1725,-0.174
3x slow (396 bars),stock/KO,396,0,132,0.0,2.3788,0.1188,0.1188,0.0,1,1,0.0038,0.0038
3x slow (396 bars),stock/MCD,396,2,132,1.5152,4.3342,1.2229,1.3059,0.0829,1,1,0.2337,0.2531
3x slow (396 bars),stock/MMM,396,3,132,2.2727,5.4322,-2.2143,-2.2588,-0.0445,2,2,-0.1465,-0.1537
3x slow (396 bars),stock/MRK,396,0,132,0.0,3.0329,2.1522,2.1522,0.0,1,1,0.4914,0.4914
3x slow (396 bars),stock/MSFT,396,0,132,0.0,4.7197,0.3049,0.3049,0.0,1,1,0.0476,0.0476
3x slow (396 bars),stock/NKE,396,1,132,0.7576,6.5882,-0.6959,-0.5404,0.1555,3,3,-0.1751,-0.1452
3x slow (396 bars),stock/PFE,396,0,132,0.0,6.6074,0.7108,0.7108,0.0,1,1,0.1424,0.1424
3x slow (396 bars),stock/PG,396,0,132,0.0,0.9355,1.8448,1.8448,0.0,1,1,0.4586,0.4586
3x slow (396 bars),stock/UNH,396,0,132,0.0,0.2467,0.2738,0.2738,0.0,1,1,0.0377,0.0377
3x slow (396 bars),stock/VZ,396,0,132,0.0,1.9883,1.0027,1.0027,0.0,1,1,0.1987,0.1987
3x slow (396 bars),stock/WMT,396,2,132,1.5152,4.674,0.232,0.9086,0.6766,1,1,0.0265,0.2026
3x slow (396 bars),stock/XOM,396,1,132,0.7576,9.6773,-0.1056,-0.0829,0.0227,2,2,-0.0281,-0.0246
