history,asset,bars,disagree_bars,scored_bars,disagree_pct,max_ema_gap_bp,sharpe_study,sharpe_mt4,sharpe_gap,flips_study,flips_mt4,cagr_study,cagr_mt4
full history,fx_futures/NZD,5230,5,4966,0.1007,7.9125,0.1513,0.1359,-0.0155,41,43,0.0112,0.0092
full history,fx_futures/PLN,4593,2,4329,0.0462,13.4175,0.0836,0.0805,-0.0031,25,25,0.0033,0.003
full history,fx_futures/SEK,5487,0,5223,0.0,2.5991,0.0357,0.0357,0.0,25,25,0.0001,0.0001
full history,fx_futures/SGD,905,1,641,0.156,2.2004,-0.1583,-0.1678,-0.0095,7,7,-0.0075,-0.0078
full history,fx_futures/ZAR,6331,0,6067,0.0,4.7103,0.3094,0.3094,0.0,44,44,0.0232,0.0232
full history,fx_spot_ctrl/SGDUSD,9399,0,9135,0.0,0.172,0.2215,0.2215,0.0,61,61,0.0071,0.0071
full history,index/^DJI,2553,2,2289,0.0874,3.6451,0.5183,0.519,0.0007,12,12,0.0566,0.0567
full history,index/^GSPC,2553,2,2289,0.0874,2.8456,0.4518,0.4437,-0.0081,10,10,0.049,0.0479
full history,index/^IXIC,2553,6,2289,0.2621,0.7731,0.6522,0.6344,-0.0178,12,12,0.0881,0.0856
full history,index/^RUT,2553,2,2289,0.0874,3.516,0.3319,0.3511,0.0193,14,12,0.0408,0.044
full history,index_pkg/NDX,5031,0,4767,0.0,3.1811,0.372,0.372,0.0,24,24,0.0465,0.0465
full history,index_pkg/SPX,5031,0,4767,0.0,2.415,0.465,0.465,0.0,20,20,0.0479,0.0479
full history,stock/AAPL,2553,0,2289,0.0,0.9516,1.0861,1.0861,0.0,6,6,0.2419,0.2419
full history,stock/AXP,2553,1,2289,0.0437,5.7308,0.5139,0.5097,-0.0042,13,13,0.0877,0.0867
full history,stock/BA,2553,0,2289,0.0,5.7714,0.8351,0.8351,0.0,19,19,0.1667,0.1667
full history,stock/CAT,2553,0,2289,0.0,3.7611,0.396,0.396,0.0,14,14,0.0614,0.0614
full history,stock/CSCO,2553,0,2289,0.0,0.159,0.444,0.444,0.0,15,15,0.0682,0.0682
full history,stock/CVX,2553,0,2289,0.0,3.7916,0.2032,0.2032,0.0,14,14,0.02,0.02
full history,stock/DIS,2553,0,2289,0.0,3.1975,0.7272,0.7272,0.0,11,11,0.1177,0.1177
full history,stock/GE,2553,0,2289,0.0,7.0445,0.1951,0.1951,0.0,14,14,0.0185,0.0185
full history,stock/GS,2553,2,2289,0.0874,16.6533,0.2895,0.3166,0.0271,14,12,0.0363,0.0414
full history,stock/HD,2553,0,2289,0.0,0.1838,1.0472,1.0472,0.0,8,8,0.1888,0.1888
full history,stock/IBM,2553,0,2289,0.0,0.6424,0.052,0.052,0.0,16,16,-0.0038,-0.0038
full history,stock/INTC,2553,1,2289,0.0437,6.1807,0.2865,0.2811,-0.0055,19,19,0.0384,0.0373
full history,stock/JNJ,2553,0,2289,0.0,5.7485,0.5852,0.5852,0.0,14,14,0.0705,0.0705
full history,stock/JPM,2553,2,2289,0.0874,8.4491,0.4985,0.4689,-0.0297,12,12,0.0797,0.0737
full history,stock/KO,2553,2,2289,0.0874,1.6558,0.4015,0.41,0.0086,15,15,0.0462,0.0474
full history,stock/MCD,2553,0,2289,0.0,2.1517,0.7121,0.7121,0.0,19,19,0.0965,0.0965
full history,stock/MMM,2553,0,2289,0.0,3.0526,0.6194,0.6194,0.0,10,10,0.0864,0.0864
full history,stock/MRK,2553,0,2289,0.0,2.2624,0.3342,0.3342,0.0,13,13,0.0424,0.0424
full history,stock/MSFT,2553,0,2289,0.0,2.5299,0.6065,0.6065,0.0,13,13,0.112,0.112
full history,stock/NKE,2553,0,2289,0.0,1.0281,0.8554,0.8554,0.0,11,11,0.1783,0.1783
full history,stock/PFE,2553,3,2289,0.1311,4.7583,0.5434,0.5251,-0.0184,13,15,0.0755,0.0725
full history,stock/PG,2553,3,2289,0.1311,8.9787,0.4903,0.5044,0.0142,17,17,0.0564,0.0583
full history,stock/UNH,2553,0,2289,0.0,7.8034,0.9754,0.9754,0.0,13,13,0.209,0.209
full history,stock/VZ,2553,6,2289,0.2621,1.6447,0.4103,0.4225,0.0122,27,27,0.0502,0.0522
full history,stock/WMT,2553,0,2289,0.0,7.4583,0.4907,0.4907,0.0,17,17,0.0643,0.0643
full history,stock/XOM,2553,0,2289,0.0,10.4492,0.2394,0.2394,0.0,12,12,0.0227,0.0227
4x slow (528 bars),crypto/BTC_14_19,528,0,264,0.0,28.6074,2.492,2.492,0.0,1,1,2.0515,2.0515
4x slow (528 bars),crypto/BTC_20_26,528,0,264,0.0,30.2712,-0.2996,-0.2996,0.0,2,2,-0.0966,-0.0966
4x slow (528 bars),crypto/ETH_24_25,528,0,264,0.0,34.6689,0.4791,0.4791,0.0,2,2,0.1204,0.1204
4x slow (528 bars),etf/GLD,528,0,264,0.0,2.4627,0.0755,0.0755,0.0,3,3,0.0028,0.0028
4x slow (528 bars),etf/QQQ,528,0,264,0.0,1.6451,0.1887,0.1887,0.0,2,2,0.0179,0.0179
4x slow (528 bars),etf/SHY,528,0,264,0.0,0.0912,2.2727,2.2727,0.0,1,1,0.0163,0.0163
4x slow (528 bars),etf/SPY,528,0,264,0.0,0.7403,0.273,0.273,0.0,2,2,0.0278,0.0278
4x slow (528 bars),fut_commodity/BRENT_W,528,0,264,0.0,5.1284,-0.1446,-0.1446,0.0,3,3,-0.0445,-0.0445
4x slow (528 bars),fut_commodity/COPPER,528,2,264,0.7576,18.2628,-0.5868,-0.7243,-0.1375,3,3,-0.0645,-0.0746
4x slow (528 bars),fut_commodity/CORN,528,0,264,0.0,16.4326,,,,0,0,0.0,0.0
