fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,0.711,0.811,0.882,0.881,0.922,0.927,0.883,0.844,0.815
5-9,0.823,0.905,0.897,0.905,0.916,0.914,0.889,0.851,0.813
10-19,0.915,0.892,0.87,0.912,0.938,0.925,0.915,0.861,0.81
20-39,,0.866,0.913,0.933,0.941,0.923,0.91,0.848,0.793
40-69,,,0.931,0.949,0.93,0.922,0.895,0.826,0.772
70-120,,,,0.925,0.912,0.899,0.869,0.813,0.761
