fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,35.852,22.437,15.937,11.269,8.001,6.275,4.871,3.713,2.501
5-9,18.684,13.277,9.63,6.603,4.716,3.606,2.828,2.158,1.48
10-19,13.404,8.992,6.435,4.486,3.128,2.393,1.856,1.422,1.012
20-39,,6.195,4.323,2.966,2.071,1.535,1.235,0.973,0.688
40-69,,,3.127,2.109,1.463,1.132,0.925,0.714,0.51
70-120,,,,1.509,1.094,0.844,0.704,0.547,0.354
