fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,0.207,0.369,0.444,0.542,0.658,0.703,0.766,0.729,0.711
5-9,0.311,0.482,0.503,0.598,0.718,0.746,0.782,0.754,0.723
10-19,0.488,0.547,0.586,0.656,0.761,0.801,0.808,0.748,0.719
20-39,,0.561,0.63,0.76,0.814,0.812,0.797,0.75,0.714
40-69,,,0.728,0.814,0.823,0.814,0.784,0.739,0.711
70-120,,,,0.823,0.827,0.799,0.771,0.719,0.694
