rule,markets,folds,is_sharpe,oos_sharpe,oos_pos_share,regret_vs_oracle,vs_median_pair,oos_pctile
"grid-optimal pair, re-optimised each fold",78,390,1.004,0.243,0.6,0.734,-0.072,
oracle (best pair chosen with hindsight),78,390,,0.965,0.962,0.0,0.667,
median pair on the grid (no selection),78,390,,0.298,0.631,,0.0,
fixed pair 50/138,78,390,0.358,0.284,0.623,0.686,-0.02,0.503
fixed pair 58/132,78,390,0.381,0.294,0.628,0.676,-0.01,0.515
