fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,-0.401,-0.363,-0.35,-0.352,-0.349,-0.339,-0.331,-0.339,-0.329
5-9,-0.374,-0.346,-0.355,-0.348,-0.334,-0.338,-0.332,-0.327,-0.329
10-19,-0.337,-0.352,-0.337,-0.348,-0.341,-0.331,-0.325,-0.319,-0.34
20-39,,-0.329,-0.33,-0.346,-0.339,-0.336,-0.328,-0.314,-0.33
40-69,,,-0.336,-0.332,-0.33,-0.341,-0.334,-0.323,-0.326
70-120,,,,-0.33,-0.344,-0.358,-0.342,-0.332,-0.334
