fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,-0.228,-0.103,-0.049,0.033,0.1,0.137,0.174,0.198,0.273
5-9,-0.132,-0.016,0.005,0.064,0.133,0.159,0.199,0.216,0.26
10-19,-0.007,0.03,0.046,0.098,0.179,0.187,0.216,0.238,0.24
20-39,,0.057,0.089,0.169,0.213,0.211,0.218,0.234,0.253
40-69,,,0.137,0.206,0.217,0.202,0.228,0.251,0.261
70-120,,,,0.22,0.211,0.211,0.231,0.266,0.251
