pair,fast,slow,mode,sharpe,cagr,max_dd,calmar,vol,vt_sharpe,vt_cagr,vt_dd,vt_calmar,markets,active_share,bars,why
62/166,62,166,long,0.655,0.086,-0.478,0.18,0.141,0.931,0.086,-0.335,0.257,82,0.11,15604,cand_long
62/166,62,166,ls,0.4,0.054,-0.678,0.079,0.164,0.652,0.061,-0.49,0.125,82,0.11,15604,cand_long
64/128,64,128,long,0.7,0.093,-0.419,0.222,0.141,0.951,0.088,-0.222,0.396,82,0.11,15655,cand_long
64/128,64,128,ls,0.469,0.066,-0.493,0.134,0.166,0.7,0.066,-0.318,0.208,82,0.11,15655,cand_long
64/130,64,130,long,0.69,0.091,-0.419,0.218,0.141,0.946,0.087,-0.231,0.378,82,0.11,15652,cand_long
64/130,64,130,ls,0.444,0.062,-0.56,0.11,0.166,0.684,0.064,-0.318,0.203,82,0.11,15652,cand_long
70/146,70,146,long,0.65,0.085,-0.441,0.193,0.141,0.911,0.084,-0.282,0.298,82,0.11,15630,cand_long
70/146,70,146,ls,0.396,0.053,-0.638,0.083,0.164,0.642,0.06,-0.428,0.141,82,0.11,15630,cand_long
76/114,76,114,long,0.686,0.091,-0.419,0.216,0.141,0.922,0.085,-0.226,0.376,82,0.11,15674,cand_long
76/114,76,114,ls,0.436,0.06,-0.52,0.116,0.165,0.668,0.063,-0.325,0.193,82,0.11,15674,cand_long
78/118,78,118,long,0.671,0.088,-0.419,0.211,0.141,0.921,0.085,-0.227,0.374,82,0.11,15667,cand_long
78/118,78,118,ls,0.419,0.057,-0.598,0.095,0.165,0.666,0.063,-0.342,0.183,82,0.11,15667,cand_long
80/144,80,144,long,0.662,0.087,-0.484,0.179,0.141,0.949,0.088,-0.295,0.298,82,0.11,15633,cand_long
80/144,80,144,ls,0.415,0.056,-0.673,0.083,0.163,0.68,0.064,-0.441,0.145,82,0.11,15633,cand_long
84/140,84,140,long,0.659,0.086,-0.483,0.179,0.14,0.945,0.087,-0.297,0.294,82,0.11,15638,cand_long
84/140,84,140,ls,0.404,0.054,-0.672,0.08,0.163,0.672,0.063,-0.453,0.14,82,0.11,15638,cand_long
104/374,104,374,long,0.587,0.074,-0.538,0.138,0.139,0.815,0.074,-0.329,0.225,81,0.111,15327,cand_ls
104/374,104,374,ls,0.279,0.033,-0.849,0.039,0.164,0.566,0.052,-0.571,0.092,81,0.111,15327,cand_ls
104/376,104,376,long,0.606,0.077,-0.512,0.151,0.138,0.841,0.076,-0.315,0.243,81,0.111,15324,cand_ls
104/376,104,376,ls,0.305,0.037,-0.83,0.045,0.164,0.599,0.056,-0.528,0.106,81,0.111,15324,cand_ls
104/378,104,378,long,0.603,0.077,-0.514,0.149,0.138,0.835,0.076,-0.311,0.244,81,0.111,15322,cand_ls
104/378,104,378,ls,0.305,0.037,-0.826,0.045,0.164,0.603,0.056,-0.516,0.109,81,0.111,15322,cand_ls
106/378,106,378,long,0.599,0.076,-0.517,0.147,0.138,0.835,0.076,-0.315,0.241,81,0.111,15322,cand_ls
106/378,106,378,ls,0.298,0.036,-0.829,0.044,0.164,0.598,0.056,-0.513,0.108,81,0.111,15322,cand_ls
116/378,116,378,long,0.599,0.076,-0.508,0.15,0.139,0.847,0.077,-0.314,0.246,81,0.111,15322,cand_ls
116/378,116,378,ls,0.3,0.036,-0.828,0.044,0.164,0.605,0.056,-0.536,0.105,81,0.111,15322,cand_ls
120/376,120,376,long,0.603,0.077,-0.506,0.152,0.138,0.849,0.077,-0.315,0.246,81,0.111,15324,cand_ls
120/376,120,376,ls,0.301,0.037,-0.83,0.044,0.164,0.603,0.056,-0.536,0.105,81,0.111,15324,cand_ls
120/380,120,380,long,0.59,0.075,-0.506,0.148,0.138,0.835,0.076,-0.317,0.239,81,0.111,15320,cand_ls
120/380,120,380,ls,0.284,0.034,-0.826,0.041,0.164,0.585,0.054,-0.516,0.105,81,0.111,15320,cand_ls
120/382,120,382,long,0.586,0.074,-0.505,0.147,0.138,0.837,0.076,-0.312,0.244,81,0.111,15317,cand_ls
120/382,120,382,ls,0.277,0.033,-0.824,0.039,0.164,0.584,0.054,-0.507,0.107,81,0.111,15317,cand_ls
120/384,120,384,long,0.578,0.073,-0.54,0.135,0.138,0.825,0.075,-0.326,0.231,81,0.111,15314,cand_ls
120/384,120,384,ls,0.267,0.031,-0.844,0.037,0.164,0.588,0.055,-0.5,0.109,81,0.111,15314,cand_ls
