fb,6-15,16-30,31-60,61-120,121-200,201-300,301-400,401-700,701-1000
2-4,17.926,11.219,7.969,5.634,4.001,3.137,2.436,1.856,1.251
5-9,9.342,6.638,4.815,3.301,2.358,1.803,1.414,1.079,0.74
10-19,6.702,4.496,3.218,2.243,1.564,1.196,0.928,0.711,0.506
20-39,,3.098,2.161,1.483,1.036,0.768,0.617,0.487,0.344
40-69,,,1.564,1.055,0.731,0.566,0.462,0.357,0.255
70-120,,,,0.755,0.547,0.422,0.352,0.273,0.177
