id,family,params,is_cagr,is_vol,is_sharpe,is_sortino,is_max_dd,is_calmar,is_hit,is_total_return,is_ann_turnover,oos_cagr,oos_vol,oos_sharpe,oos_sortino,oos_max_dd,oos_calmar,oos_hit,oos_total_return,oos_ann_turnover,all_cagr,all_vol,all_sharpe,all_sortino,all_max_dd,all_calmar,all_hit,all_total_return,all_ann_turnover
0,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""raw""}",-0.0006425050270157939,0.1630123059091755,0.07766447572965522,0.09912592696674084,-0.45331017175579,-0.001417362916272543,0.5212514757969303,-0.004311129958412541,69.3952507294929,0.033054645306915154,0.08569799460409493,0.4223533297967991,0.5692041320436311,-0.17637995809315554,0.18740590293970505,0.5410677618069816,0.13393368239514047,64.93644951389662,0.011529910678183208,0.13981524405247844,0.15200038140787012,0.19038804068034243,-0.45331017175579,0.02543492600998742,0.5284857571214393,0.12904514692611424,67.76748746712754
1,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt10""}",0.005052964657172199,0.10511105586047582,0.10054025495591735,0.12865025183811774,-0.32523075940546375,0.015536552158870957,0.5112160566706021,0.03446214181275575,60.00931880826152,0.02312451157204265,0.06847920709646566,0.36809199136605003,0.48171931733806833,-0.14721292648322015,0.15708207237275773,0.5462012320328542,0.09238165864346515,63.004207749216235,0.011613003896774776,0.09340483511551836,0.17035548171594045,0.21577112070912524,-0.32523075940546375,0.035706966702669395,0.5239880059970015,0.1300274702772859,61.10265532568651
2,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt20""}",0.009382361192479705,0.11484892656722738,0.13876182725306274,0.179456565521458,-0.3364034824579505,0.027890202336572047,0.5094451003541912,0.06478859850174645,62.061977900090945,0.028890142744700142,0.07307594611916442,0.42630472831550476,0.5592673259211766,-0.1496334963145317,0.19307269733223809,0.5482546201232033,0.11636751818039226,64.06572017195091,0.016460777111819702,0.10159510848027953,0.2115407372322606,0.27003382555559474,-0.3364034824579505,0.048931648957817354,0.5236131934032984,0.18869540509617355,62.79347901433068
3,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""sma"", ""mode"": ""ls"", ""sizing"": ""raw""}",-0.039878769288815175,0.16446188606088016,-0.16469313465402138,-0.18879950908772056,-0.3805513868293734,-0.10479207452394725,0.4982290436835891,-0.23933762308715767,37.82231404958677,-0.0370454142681127,0.06971418455192493,-0.5065914977186544,-0.6382615568079998,-0.1975082800862369,-0.18756385429480615,0.5092402464065708,-0.1357584582695116,38.31745379876797,-0.03884537104591945,0.13763330902834184,-0.21862851714818443,-0.24794819316063196,-0.4633957879300159,-0.08382763084541903,0.5022488755622189,-0.34260397464046466,38.003073463268365
4,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""sma"", ""mode"": ""ls"", ""sizing"": ""vt10""}",-0.02183030418645504,0.10921746443780961,-0.14728679201312306,-0.17072006818511928,-0.2583644406220399,-0.08449422890354516,0.49409681227863045,-0.1378910587681451,38.715362877058766,-0.03611704700564067,0.05453856994928912,-0.6471750935548329,-0.8244113374935597,-0.18168474985685967,-0.1987896454385714,0.49794661190965095,-0.1325336246797838,41.037871568187356,-0.027070307268317384,0.0930464370879321,-0.24825380058323823,-0.28798921948488104,-0.3493198324741257,-0.07749433256218712,0.4955022488755622,-0.25214948161845263,39.56323524031185
5,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""sma"", ""mode"": ""ls"", ""sizing"": ""vt20""}",-0.02383199804996039,0.12032223606624776,-0.1400415903501314,-0.16155151252664973,-0.28228903270008965,-0.08442410185761645,0.4899645808736718,-0.1496811312565095,38.70167293492442,-0.03772300566233433,0.05911241155528328,-0.6209072788470777,-0.7888639225322062,-0.19280753590599564,-0.19565109571612588,0.49794661190965095,-0.13810656494711737,40.937611950243266,-0.028926241746978,0.10230050819728935,-0.2355597106849947,-0.2718871643166175,-0.37296333469596754,-0.07755786978513078,0.4928785607196402,-0.26711574932839155,39.5179415259741
6,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""ema"", ""mode"": ""lo"", ""sizing"": ""raw""}",-0.04258723326208347,0.15713450610356722,-0.1981295914063216,-0.24721548382297195,-0.5831984363511475,-0.07302357243708626,0.5224321133412042,-0.2536462510963805,72.60870932208289,0.02627698147491042,0.08595203278033793,0.3448085395875212,0.4469216286302643,-0.16183409543359673,0.1623698727051761,0.5369609856262834,0.10544853185139602,65.42037587395163,-0.017999721564591176,0.13554544343773195,-0.06601364713779266,-0.08062406408735545,-0.5831984363511475,-0.03086380285449433,0.527736131934033,-0.17494434403271164,69.98448264349223
7,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""ema"", ""mode"": ""lo"", ""sizing"": ""vt10""}",-0.014457231993501685,0.10293204707880192,-0.08998603937751892,-0.11540450938598558,-0.37878085814302476,-0.03816779988402356,0.5076741440377804,-0.09325506111251991,60.64667267141944,0.020016566605410846,0.06971687468555199,0.3191645900241088,0.4021114665920126,-0.1388977171396173,0.14411011942903698,0.5441478439425051,0.07961176683552185,64.70595684105518,-0.002009122346113279,0.09219441463043847,0.02431974524813949,0.030628899284136347,-0.37878085814302476,-0.005304181304100245,0.5209895052473763,-0.021067494458522407,62.12858525808557
8,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""ema"", ""mode"": ""lo"", ""sizing"": ""vt20""}",-0.0200253130057777,0.11307849204184935,-0.12231319008045023,-0.15685705677541625,-0.4352835531174961,-0.046005213986048,0.5047225501770957,-0.12714054122755858,63.59969116918617,0.026863600205684346,0.07392656919304083,0.3955942743669076,0.504481598383986,-0.13517935055330754,0.19872561967288616,0.5420944558521561,0.10789277202948488,64.68595499506813,-0.0031611364609098747,0.10056102918860016,0.01884055264759602,0.023743756794514216,-0.4352835531174961,-0.00726224650177993,0.5183658170914542,-0.032965314628447095,63.99625075179826
9,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""ema"", ""mode"": ""ls"", ""sizing"": ""raw""}",-0.06786904662673832,0.16518727926228513,-0.34220398654595496,-0.38380609037203783,-0.43580361577195026,-0.15573309667594223,0.5141676505312869,-0.37652773361279535,40.29917355371901,-0.046167608929608694,0.07173400517586581,-0.6229949729999648,-0.7696117819064422,-0.19954214487769384,-0.23136770910178595,0.5051334702258727,-0.1669752444530771,40.917659137577,-0.06000438192341684,0.1385605347365377,-0.37677497649276137,-0.41910581650821194,-0.5323496650605994,-0.11271610721608383,0.5108695652173914,-0.4806321677025117,40.52496251874063
10,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""ema"", ""mode"": ""ls"", ""sizing"": ""vt10""}",-0.0420541204435354,0.10976137114328638,-0.3362951470991652,-0.38397528612984916,-0.2948243404183726,-0.14264127712066854,0.48760330578512395,-0.2508481110770494,40.53498354179431,-0.03979339635322687,0.055952786086558216,-0.6977102107257475,-0.8766002406860581,-0.17429451023907172,-0.22831124341578005,0.49589322381930184,-0.1452519451723171,44.475477665608786,-0.04122942117040762,0.093754565514676,-0.4019918787829564,-0.4594037924700831,-0.39894068416755035,-0.10334724636179686,0.4906296851574213,-0.3596638801726222,41.97352974741474
11,ma_cross,"{""fast"": 3, ""slow"": 20, ""kind"": ""ema"", ""mode"": ""ls"", ""sizing"": ""vt20""}",-0.046077148384259914,0.12097063294691322,-0.3291314717813964,-0.3729430376014494,-0.31999961387046816,-0.14399126244855834,0.4887839433293979,-0.271744905400346,40.8253093279269,-0.04126105339381769,0.06072307537688907,-0.6635004750535968,-0.8304084011773757,-0.1817873074094437,-0.22697433600732353,0.49589322381930184,-0.15029049269057204,43.814799883286824,-0.04432175910339997,0.10312499679199956,-0.3877671305768155,-0.440025510240435,-0.424354067431318,-0.10444523218944633,0.49137931034482757,-0.38119472237214636,41.91667507040088
12,ma_cross,"{""fast"": 3, ""slow"": 25, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""raw""}",-0.004216903966572483,0.1589938515743454,0.05300621837065356,0.06781741612608652,-0.4744314186199746,-0.008888332014010805,0.5230224321133412,-0.0280072197995207,61.703102043962964,0.03313226344370035,0.08539489566757287,0.42444547521479775,0.5621408606373756,-0.16898445934964967,0.19606692574697424,0.5369609856262834,0.13426301348737257,57.259297029457535,0.009258944980011785,0.1367778522456469,0.13586294475828586,0.17025309033417316,-0.4744314186199746,0.01951587651371022,0.5281109445277361,0.10249545995816378,60.08081340673346
13,ma_cross,"{""fast"": 3, ""slow"": 25, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt10""}",0.0051881188278692925,0.10388196322351086,0.10176705228250943,0.131543491791014,-0.3313806089943514,0.015656072464872946,0.512396694214876,0.03539762301784033,52.04945076009453,0.025905982623712687,0.06815963750038856,0.4093508206498065,0.5227555844216702,-0.1317501042252226,0.19662969358587554,0.5451745379876797,0.10390477105673535,56.160284258943584,0.012702595796440397,0.09244214829041936,0.18279731822018283,0.2322638412502429,-0.3313806089943514,0.0383323448978782,0.5243628185907047,0.14298037599019686,53.550182329764304
14,ma_cross,"{""fast"": 3, ""slow"": 25, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt20""}",0.005470012870286034,0.11340493515819139,0.10479068581095308,0.13747302127254551,-0.36150349252411307,0.015131286373177079,0.5118063754427391,0.03735109441873452,54.589780154445535,0.03303776026255867,0.07287491992749916,0.48250808105679877,0.6201780374647942,-0.1359111987685495,0.24308342919423767,0.5451745379876797,0.133862049119007,56.41815944994659,0.015447786297923427,0.10050831357061886,0.20279089357945204,0.2606613272945463,-0.36150349252411307,0.04273205271147699,0.5239880059970015,0.17621303757347162,55.25726195122892
