,id,family,params,is_cagr,is_vol,is_sharpe,is_sortino,is_max_dd,is_calmar,is_hit,is_total_return,is_ann_turnover,oos_cagr,oos_vol,oos_sharpe,oos_sortino,oos_max_dd,oos_calmar,oos_hit,oos_total_return,oos_ann_turnover,all_cagr,all_vol,all_sharpe,all_sortino,all_max_dd,all_calmar,all_hit,all_total_return,all_ann_turnover,degradation,dsr,score
1,8983,trend_vol_filter,"{""ma"": 200, ""volw"": 120, ""volmax"": 0.12, ""mode"": ""lo"", ""sizing"": ""vt10""}",0.032543185334833,0.0460839011481992,0.7180052776745782,0.9175662904465356,-0.0711283664927171,0.4575275229772798,0.4592680047225502,0.2402069976681078,25.28711568518446,0.0479957650361473,0.0428648753176158,1.1151812170275457,1.4942966680969776,-0.0879882395115266,0.5454793197659077,0.5379876796714579,0.1986466894653047,19.568106468104094,0.0381578340829396,0.0449295874958303,0.856004922480659,1.1122907976381495,-0.0879882395115271,0.4336697073924366,0.4880059970014992,0.4865700120065779,23.199291480748077,0.39717593935296747,0.06116486129901394,7.2184481607753215
2,8822,trend_vol_filter,"{""ma"": 150, ""volw"": 120, ""volmax"": 0.15, ""mode"": ""lo"", ""sizing"": ""vt20""}",0.0444133972271378,0.0675477159091369,0.6771333760703293,0.9047953862757636,-0.1229215473322788,0.3613149865993839,0.4734356552538371,0.3392593773179186,26.137629166443315,0.069556202434007,0.0656267013857521,1.0575891300442637,1.3842345020567606,-0.0940263686631086,0.7397520868132549,0.5574948665297741,0.2968037944582693,26.49895068241368,0.0535229737211653,0.0668443284449479,0.8135165033595737,1.0792837610294403,-0.1229215473322788,0.4354238527154492,0.5041229385307346,0.7367566422696945,26.26953589678632,0.3804557539739344,0.04865849951797746,6.811455620023102
3,1609,ma_cross,"{""fast"": 60, ""slow"": 250, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt10""}",0.0569166364198652,0.0873165111782586,0.6777177561614516,0.8266685592409105,-0.1357548183079296,0.4192605251827044,0.4628099173553719,0.450798694725488,4.856473418882713,0.0653224948853186,0.0788584163789795,0.8419698459509228,1.0608754797548794,-0.1101760203327122,0.5928921256009805,0.5369609856262834,0.2770756457624983,5.830151540841816,0.0599776271987073,0.0843124319164856,0.7331291859866697,0.9039586143380772,-0.1357548183079296,0.441808459885832,0.489880059970015,0.8527796799379446,5.211931623825803,0.16425208978947126,0.01872536739327707,3.821713728257399
4,578,ma_cross,"{""fast"": 10, ""slow"": 150, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt20""}",0.0620286126171367,0.0996607689354379,0.653765254831987,0.8589205116188332,-0.2008528669256265,0.3088261251461511,0.4935064935064935,0.4986266855158092,11.991641059795707,0.0656402677835952,0.0793144981855428,0.8413540039732499,1.0646655754797434,-0.1281044152695495,0.5123966074508748,0.5564681724845996,0.278548624131995,10.125818297437498,0.0633456895841582,0.092736337773403,0.7087879057688958,0.9165083873101614,-0.2008528669256265,0.3153835469404296,0.5164917541229386,0.9160670868537364,11.31048987143855,0.1875887491412629,0.0186701479432147,2.783038802590083
5,1202,ma_cross,"{""fast"": 25, ""slow"": 250, ""kind"": ""sma"", ""mode"": ""lo"", ""sizing"": ""vt20""}",0.0633750617574488,0.0942790408728953,0.699016082861993,0.8590135789711372,-0.1434231771673191,0.441874618936344,0.4645808736717827,0.5114451405158382,6.258422417755948,0.0614387134390643,0.0837759146065495,0.7537364687821096,0.9398077844183212,-0.1348684099672378,0.4555456200157549,0.553388090349076,0.2591745411134603,7.133597295378295,0.0626677549273004,0.0905700392996443,0.7165267335165308,0.8847369792278726,-0.1434231771673191,0.4369430113390359,0.4970014992503748,0.9031732412271998,6.577920292869953,0.05472038592011663,0.012103260369718594,2.5311983420339734
6,8778,trend_vol_filter,"{""ma"": 150, ""volw"": 60, ""volmax"": 0.15, ""mode"": ""lo"", ""sizing"": ""raw""}",0.0489030304790547,0.076929756489377,0.659163377384653,0.8379132859450887,-0.1753271492481676,0.2789244602947073,0.4846517119244392,0.3784390394779062,27.86714625199029,0.0552662394689866,0.0747232893206691,0.7573507292744042,0.988505176448664,-0.1124435339038827,0.491502157129182,0.5441478439425051,0.2311080045577256,29.2868788818574,0.051221571879584,0.0761178161985495,0.6944073720541659,0.8916054383788251,-0.1753271492481676,0.2921485468692717,0.5063718140929535,0.6970073352961121,28.385444445952267,0.09818735188975114,0.012328063188613292,2.1405541637632273
7,2263,ts_momentum,"{""lookback"": 220, ""gap"": 3, ""mode"": ""lo"", ""sizing"": ""vt10""}",0.0490715273743282,0.084168415055376,0.6113246530494532,0.7573971248170382,-0.1217748252959864,0.4029693925247258,0.4651711924439197,0.3799282517417128,17.6716069034387,0.0541917331734327,0.0754247770191307,0.7375011925942764,0.9312271041437644,-0.09457790476437,0.5729851312359395,0.5462012320328542,0.2262699813971833,18.512318225584323,0.0509378593318563,0.0810715099081574,0.6534620574995476,0.8147886557219071,-0.1217748252959864,0.4182954827325478,0.4947526236881559,0.6921645915927619,17.97852325567627,0.12617653954482322,0.011136736870866748,1.9995617618024668
8,2299,ts_momentum,"{""lookback"": 250, ""gap"": 3, ""mode"": ""lo"", ""sizing"": ""vt10""}",0.0511640080346549,0.0853835218934451,0.6271584120531478,0.7661853817522055,-0.1162086445317366,0.4402771260332704,0.4580873671782762,0.3985364726527987,13.8081750717172,0.0509063500299937,0.0733316591317151,0.7138604993363101,0.9024247394774778,-0.1059394128741301,0.480523241057388,0.5472279260780287,0.211564763893866,16.60413636575395,0.051069938159149,0.0811773550644021,0.6542558570403817,0.8087887529686852,-0.1162086445317366,0.4394676348298843,0.4906296851574213,0.6944175112865454,14.828889577111427,0.08670208728316231,0.009849573185228444,1.5648594365581976
9,2264,ts_momentum,"{""lookback"": 220, ""gap"": 3, ""mode"": ""lo"", ""sizing"": ""vt20""}",0.051098917246859,0.0924243625130697,0.5855036601036265,0.7400150499006083,-0.1507012802556309,0.3390742079973119,0.4604486422668241,0.3979544247005546,18.250604928467084,0.059121760472633,0.083022721259984,0.7334787303828488,0.9258921196299048,-0.1069518214206098,0.552788720073543,0.5482546201232033,0.248584239657466,18.96081770860382,0.0540207285240164,0.0890916354397416,0.63519069841024,0.8020757246756918,-0.1507012802556309,0.3584623065735232,0.492503748125937,0.7454638624405354,18.509880508621947,0.1479750702792223,0.010907909008897765,1.440035056087916
10,2588,donchian,"{""entry"": 80, ""exit_n"": 50, ""mode"": ""lo"", ""sizing"": ""vt20""}",0.0602884060603601,0.1081499584503191,0.5953869726169791,0.7921114496801149,-0.2271385185313365,0.2654257254567882,0.512987012987013,0.482196768753826,10.652499399300796,0.0486662476475383,0.079266638832567,0.6392063017880536,0.8054830056796248,-0.1420832136002545,0.3425193336663886,0.5513347022587269,0.2016134029567751,10.66358042511224,0.0560306807430839,0.0985763754312446,0.6023870390672357,0.7847299863889646,-0.2271385185313365,0.2466806647563558,0.5269865067466267,0.7810275031538205,10.65654472131742,0.04381932917107445,0.00659826911736805,-0.7789369648338189
